BiweekEnd,ReleaseWindowID,y_defects,ActiveDevelopers
2001-01-15,1,19,7
2001-01-29,1,21,7
2001-02-12,1,20,7
2001-02-26,1,16,5
2001-03-12,1,19,6
2001-03-26,1,21,7
2001-04-09,1,19,5
2001-04-23,1,26,9
2001-05-07,1,27,9
2001-05-21,1,30,10
2001-06-04,1,27,10
2001-06-18,1,23,8
2001-07-02,1,23,9
2001-07-16,1,25,9
2001-07-30,1,21,7
2001-08-13,1,19,7
2001-08-27,1,19,5
2001-09-10,1,21,6
2001-09-24,1,22,6
2001-10-08,1,19,6
2001-10-22,1,20,7
2001-11-05,1,15,4
2001-11-19,1,20,7
2001-12-03,1,19,8
2001-12-17,2,23,10
2001-12-31,2,24,9
2002-01-14,2,19,5
2002-01-28,2,21,6
2002-02-11,2,25,10
2002-02-25,2,25,10
2002-03-11,2,27,9
2002-03-25,2,18,6
2002-04-08,2,25,10
2002-04-22,2,20,6
2002-05-06,2,31,10
2002-05-20,2,30,11
2002-06-03,2,38,13
2002-06-17,2,31,11
2002-07-01,2,29,10
2002-07-15,2,40,14
2002-07-29,2,27,11
2002-08-12,2,23,8
2002-08-26,2,23,9
2002-09-09,2,19,5
2002-09-23,2,15,5
2002-10-07,2,17,5
2002-10-21,2,26,8
2002-11-04,2,17,5
2002-11-18,3,29,11
2002-12-02,3,26,10
2002-12-16,3,23,7
2002-12-30,3,25,8
2003-01-13,3,39,14
2003-01-27,3,36,13
2003-02-10,3,31,11
2003-02-24,3,25,9
2003-03-10,3,31,11
2003-03-24,3,34,12
2003-04-07,3,39,15
2003-04-21,3,38,11
2003-05-05,3,26,9
2003-05-19,3,39,14
2003-06-02,3,32,12
2003-06-16,3,42,14
2003-06-30,3,32,10
2003-07-14,3,29,10
2003-07-28,3,32,13
2003-08-11,3,21,6
2003-08-25,3,21,8
2003-09-08,3,27,9
2003-09-22,3,31,11
2003-10-06,3,15,4
2003-10-20,4,24,7
2003-11-03,4,38,12
2003-11-17,4,26,7
2003-12-01,4,37,12
2003-12-15,4,38,14
2003-12-29,4,32,12
2004-01-12,4,37,13
2004-01-26,4,40,13
2004-02-09,4,27,7
2004-02-23,4,27,10
2004-03-08,4,43,15
2004-03-22,4,51,18
2004-04-05,4,39,14
2004-04-19,4,42,15
2004-05-03,4,39,15
2004-05-17,4,36,13
2004-05-31,4,39,14
2004-06-14,4,38,12
2004-06-28,4,41,14
2004-07-12,4,20,7
2004-07-26,4,35,13
2004-08-09,4,33,11
2004-08-23,4,26,10
2004-09-06,4,35,12
2004-09-20,5,30,11
2004-10-04,5,26,8
2004-10-18,5,42,15
2004-11-01,5,36,14
2004-11-15,5,25,9
2004-11-29,5,30,10
2004-12-13,5,39,14
2004-12-27,5,46,16
2005-01-10,5,43,16
2005-01-24,5,36,11
2005-02-07,5,30,10
2005-02-21,5,47,15
2005-03-07,5,32,10
2005-03-21,5,49,18
2005-04-04,5,39,15
2005-04-18,5,52,17
2005-05-02,5,45,14
2005-05-16,5,30,8
2005-05-30,5,37,12
2005-06-13,5,27,12
2005-06-27,5,31,11
2005-07-11,5,32,11
2005-07-25,5,34,13
2005-08-08,5,29,9
