Bug ID,Topic,Era
1,14,High
2,9,High
3,10,High
4,13,High
5,8,High
6,11,High
7,12,High
8,3,High
9,0,High
10,4,High
11,4,High
12,13,High
13,13,High
14,0,High
15,7,High
16,12,High
17,1,High
18,11,High
19,1,High
20,7,High
21,12,High
22,4,High
23,5,High
24,4,High
25,10,High
26,3,High
27,14,High
28,6,High
29,7,High
30,7,High
31,8,High
32,8,High
33,7,High
34,14,High
35,12,High
36,11,High
37,10,High
38,9,High
39,5,High
40,14,High
41,6,High
42,3,High
43,12,High
44,2,High
45,12,High
46,9,High
47,1,High
48,0,High
49,6,High
50,0,High
51,2,High
52,7,High
53,14,High
54,6,High
55,12,High
56,13,High
57,12,High
58,9,High
59,6,High
60,7,High
61,3,High
62,7,High
63,5,High
64,3,High
65,14,High
66,0,High
67,1,High
68,2,High
69,14,High
70,10,High
71,13,High
72,3,High
73,10,High
74,5,High
75,7,High
76,0,High
77,9,High
78,12,High
79,9,High
80,2,High
81,8,High
82,4,High
83,14,High
84,13,High
85,2,High
86,7,High
87,14,High
88,12,High
89,10,High
90,9,High
91,0,High
92,11,High
93,7,High
94,1,High
95,3,High
96,8,High
97,10,High
98,7,High
99,9,High
100,13,High
101,10,High
102,5,High
103,9,High
104,8,High
105,1,High
106,0,High
107,9,High
108,5,High
109,8,High
110,4,High
111,3,High
112,2,High
113,5,High
114,12,High
115,6,High
116,5,High
117,8,High
118,14,High
119,5,High
120,8,High
121,6,High
122,9,High
123,6,High
124,9,High
125,8,High
126,10,High
127,14,High
128,2,High
129,8,High
130,6,High
131,5,High
132,3,High
133,0,High
134,6,High
135,12,High
136,1,High
137,6,High
138,14,High
139,14,High
140,3,High
141,0,High
142,10,High
143,0,High
144,4,High
145,7,High
146,13,High
147,1,High
148,9,High
149,7,High
150,1,High
151,12,High
152,12,High
153,7,High
154,14,High
155,9,High
156,13,High
157,14,High
158,8,High
159,4,High
160,2,High
161,8,High
162,2,High
163,11,High
164,13,High
165,3,High
166,8,High
167,0,High
168,2,High
169,5,High
170,13,High
171,14,High
172,9,High
173,8,High
174,8,High
175,0,High
176,5,High
177,14,High
178,6,High
179,3,High
180,3,High
181,10,High
182,0,High
183,14,High
184,13,High
185,8,High
186,7,High
187,11,High
188,8,High
189,7,High
190,4,High
191,6,High
192,11,High
193,0,High
194,0,High
195,10,High
196,5,High
197,12,High
198,0,High
199,13,High
200,1,High
201,6,High
202,14,High
203,1,High
204,9,High
205,10,High
206,6,High
207,1,High
208,7,High
209,6,High
210,13,High
211,10,High
212,5,High
213,0,High
214,8,High
215,4,High
216,10,High
217,12,High
218,5,High
219,13,High
220,7,High
221,7,High
222,11,High
223,11,High
224,13,High
225,14,High
226,2,High
227,6,High
228,14,High
229,4,High
230,0,High
231,8,High
232,11,High
233,11,High
234,12,High
235,9,High
236,2,High
237,12,High
238,6,High
239,12,High
240,12,High
241,14,High
242,0,High
243,12,High
244,9,High
245,7,High
246,11,High
247,14,High
248,7,High
249,1,High
250,10,High
251,3,High
252,3,High
253,2,High
254,2,High
255,13,High
256,5,High
257,1,High
258,2,High
259,5,High
260,5,High
261,4,High
262,14,High
263,12,High
264,8,High
265,14,High
266,5,High
267,2,High
268,4,High
269,1,High
270,14,High
271,3,High
272,6,High
273,3,High
274,14,High
275,2,High
276,7,High
277,14,High
278,7,High
279,13,High
280,13,High
281,11,High
282,11,High
283,8,High
284,8,High
285,12,High
286,6,High
287,14,High
288,13,High
289,5,High
290,6,High
291,10,High
292,13,High
293,1,High
294,1,High
295,3,High
296,6,High
297,2,High
298,7,High
299,8,High
300,14,High
301,11,High
302,3,High
303,11,High
304,12,High
305,10,High
306,10,High
307,4,High
308,10,High
309,2,High
310,9,High
311,13,High
312,14,High
313,4,High
314,4,High
315,9,High
316,5,High
317,10,High
318,3,High
319,2,High
320,0,High
321,7,High
322,3,High
323,4,High
324,13,High
325,12,High
326,12,High
327,8,High
328,1,High
329,11,High
330,9,High
331,13,High
332,7,High
333,2,High
334,8,High
335,6,High
336,9,High
337,5,High
338,4,High
339,1,High
340,14,High
341,11,High
342,6,High
343,3,High
344,9,High
345,6,High
346,9,High
347,1,High
348,2,High
349,11,High
350,0,High
351,10,High
352,6,High
353,0,High
354,11,High
355,10,High
356,12,High
