Bug ID,Topic
1,14
2,9
3,10
4,13
5,8
6,11
7,12
8,3
9,0
10,4
11,4
12,13
13,13
14,0
15,7
16,12
17,1
18,11
19,1
20,7
21,12
22,4
23,5
24,4
25,10
26,3
27,14
28,6
29,7
30,7
31,8
32,8
33,7
34,14
35,12
36,11
37,10
38,9
39,5
40,14
41,6
42,3
43,12
44,2
45,12
46,9
47,1
48,0
49,6
50,0
51,2
52,7
53,14
54,6
55,12
56,13
57,12
58,9
59,6
60,7
61,3
62,7
63,5
64,3
65,14
66,0
67,1
68,2
69,14
70,10
71,13
72,3
73,10
74,5
75,7
76,0
77,9
78,12
79,9
80,2
81,8
82,4
83,14
84,13
85,2
86,7
87,14
88,12
89,10
90,9
91,0
92,11
93,7
94,1
95,3
96,8
97,10
98,7
99,9
100,13
101,10
102,5
103,9
104,8
105,1
106,0
107,9
108,5
109,8
110,4
111,3
112,2
113,5
114,12
115,6
116,5
117,8
118,14
119,5
120,8
121,6
122,9
123,6
124,9
125,8
126,10
127,14
128,2
129,8
130,6
131,5
132,3
133,0
134,6
135,12
136,1
137,6
138,14
139,14
140,3
141,0
142,10
143,0
144,4
145,7
146,13
147,1
148,9
149,7
150,1
151,12
152,12
153,7
154,14
155,9
156,13
157,14
158,8
159,4
160,2
161,8
162,2
163,11
164,13
165,3
166,8
167,0
168,2
169,5
170,13
171,14
172,9
173,8
174,8
175,0
176,5
177,14
178,6
179,3
180,3
181,10
182,0
183,14
184,13
185,8
186,7
187,11
188,8
189,7
190,4
191,6
192,11
193,0
194,0
195,10
196,5
197,12
198,0
199,13
200,1
201,6
202,14
203,1
204,9
205,10
206,6
207,1
208,7
209,6
210,13
211,10
212,5
213,0
214,8
215,4
216,10
217,12
218,5
219,13
220,7
221,7
222,11
223,11
224,13
225,14
226,2
227,6
228,14
229,4
230,0
231,8
232,11
233,11
234,12
235,9
236,2
237,12
238,6
239,12
240,12
241,14
242,0
243,12
244,9
245,7
246,11
247,14
248,7
249,1
250,10
251,3
252,3
253,2
254,2
255,13
256,5
257,1
258,2
259,5
260,5
261,4
262,14
263,12
264,8
265,14
266,5
267,2
268,4
269,1
270,14
271,3
272,6
273,3
274,14
275,2
276,7
277,14
278,7
279,13
280,13
281,11
282,11
283,8
284,8
285,12
286,6
287,14
288,13
289,5
290,6
291,10
292,13
293,1
294,1
295,3
296,6
297,2
298,7
299,8
300,14
301,11
302,3
303,11
304,12
305,10
306,10
307,4
308,10
309,2
310,9
311,13
312,14
313,4
314,4
315,9
316,5
317,10
318,3
319,2
320,0
321,7
322,3
323,4
324,13
325,12
326,12
327,8
328,1
329,11
330,9
331,13
332,7
333,2
334,8
335,6
336,9
337,5
338,4
339,1
340,14
341,11
342,6
343,3
344,9
345,6
346,9
347,1
348,2
349,11
350,0
351,10
352,6
353,0
354,11
355,10
356,12
357,13
358,10
359,12
360,1
361,13
362,13
363,10
364,12
365,11
366,13
367,13
368,7
369,12
370,13
371,4
372,0
373,2
374,0
375,6
376,0
377,3
378,3
379,10
380,3
381,14
382,2
383,14
384,8
385,3
386,0
387,4
388,8
389,1
390,2
391,1
392,10
393,1
394,0
395,6
396,4
397,8
398,14
399,12
400,8
401,9
402,12
403,6
404,9
405,3
406,9
407,3
408,2
409,11
410,8
411,5
412,0
413,3
414,12
415,7
416,14
417,13
418,12
419,0
420,0
421,8
422,5
423,12
424,4
425,2
426,1
427,4
428,9
429,1
430,11
431,4
432,4
433,9
434,12
435,6
436,11
437,4
438,1
439,12
440,11
441,11
442,13
443,7
444,2
445,8
446,8
447,5
448,9
449,3
450,9
451,11
452,1
453,6
454,9
455,0
456,9
457,13
458,12
459,10
460,12
461,5
462,4
463,1
464,10
465,4
466,13
467,6
468,13
469,2
470,2
471,5
472,0
473,7
474,9
475,9
476,3
477,2
478,8
479,9
480,14
481,13
482,5
483,2
484,3
485,13
486,6
487,14
488,9
489,8
490,1
491,8
492,5
493,12
494,2
495,2
496,9
497,10
498,12
499,7
500,5
501,4
502,5
503,9
504,8
505,4
506,3
507,10
508,3
509,3
510,4
511,12
512,6
513,8
514,1
515,5
516,11
517,11
518,8
519,13
520,4
521,2
522,1
523,2
524,11
525,13
526,1
527,7
528,1
529,12
530,1
531,9
532,1
533,11
534,13
535,10
536,4
537,12
538,4
539,11
540,12
541,7
542,9
543,12
544,2
545,0
546,6
547,2
548,13
549,13
550,5
551,4
552,10
553,6
554,1
555,9
556,10
557,1
558,11
559,8
560,12
561,12
562,10
563,5
564,5
565,10
566,0
567,3
568,7
569,14
570,11
571,12
572,2
573,4
574,3
575,11
576,8
577,3
578,11
579,9
580,13
581,8
582,1
583,13
584,2
585,0
586,11
587,6
588,9
589,1
590,10
591,6
592,14
593,9
594,14
595,11
596,12
597,1
598,11
599,9
600,5
601,4
602,9
603,2
604,2
605,13
606,11
607,8
608,11
609,4
610,10
611,3
612,6
613,2
614,5
615,5
616,6
617,7
618,0
619,5
620,12
621,6
622,8
623,1
624,5
625,14
626,8
627,0
628,10
629,11
630,5
631,0
632,12
633,3
634,13
635,5
636,5
637,11
638,2
639,0
640,11
641,13
642,14
643,1
644,2
645,5
646,10
647,13
648,12
649,5
650,13
651,3
652,1
653,6
654,1
655,10
656,14
657,1
658,1
659,2
660,2
661,8
662,8
663,14
664,6
665,13
666,11
667,12
668,2
669,6
670,13
671,11
672,3
673,12
674,11
675,2
676,1
677,3
678,7
679,2
680,0
681,1
682,4
683,5
684,4
685,6
686,10
687,3
688,6
689,10
690,0
691,14
692,14
693,4
694,13
695,3
696,13
697,9
698,3
699,0
700,5
701,11
702,3
703,7
704,1
705,6
706,0
707,14
708,7
709,12
710,1
711,2
712,2
713,8
714,12
715,9
716,7
717,14
718,2
719,2
720,10
721,12
722,3
723,3
724,7
725,11
