Bug ID,Topic
10000,10
10001,12
10002,14
10003,11
10004,1
10005,5
10006,7
10007,1
10008,6
10009,1
10010,8
10011,2
10012,4
10013,4
10014,14
10015,6
10016,8
10017,13
10018,0
10019,4
10020,6
10021,13
10022,10
10023,10
10024,5
10025,12
10026,2
10027,6
10028,5
10029,0
10030,1
10031,11
10032,14
10033,3
10034,1
10035,2
10036,0
10037,11
10038,0
10039,10
10040,11
10041,3
10042,3
10043,4
10044,11
10045,14
10046,11
10047,4
10048,10
10049,10
10050,6
10051,1
10052,4
10053,12
10054,7
10055,1
10056,13
10057,7
10058,5
10059,0
10060,8
10061,8
10062,2
10063,12
10064,7
10065,1
10066,2
10067,4
10068,11
10069,11
10070,12
10071,9
10072,13
10073,4
10074,8
10075,9
10076,5
10077,6
10078,10
10079,12
10080,13
10081,4
10082,10
10083,11
10084,14
10085,9
10086,3
10087,11
10088,2
10089,5
10090,7
10091,10
10092,2
10093,10
10094,2
10095,5
10096,1
10097,0
10098,4
10099,14
10100,8
10101,10
10102,3
10103,3
10104,13
10105,10
10106,7
10107,4
10108,12
10109,7
10110,0
10111,12
10112,6
10113,6
10114,5
10115,4
10116,9
10117,4
10118,7
10119,1
10120,12
10121,3
10122,9
10123,4
10124,2
10125,2
10126,10
10127,0
10128,11
10129,6
10130,6
10131,3
10132,5
10133,11
10134,13
10135,13
10136,9
10137,4
10138,1
10139,8
10140,8
10141,7
10142,7
10143,1
10144,5
10145,1
10146,12
10147,13
10148,12
10149,7
10150,12
10151,12
10152,5
10153,0
10154,12
10155,8
10156,6
10157,12
10158,14
10159,13
10160,0
10161,0
10162,7
10163,7
10164,3
10165,5
10166,8
10167,11
10168,11
10169,1
10170,5
10171,3
10172,4
10173,12
10174,6
10175,7
10176,14
10177,6
10178,11
10179,14
10180,14
10181,4
10182,6
10183,0
10184,11
10185,5
10186,0
10187,2
10188,2
10189,1
10190,1
10191,8
10192,3
10193,14
10194,8
10195,8
10196,7
10197,9
10198,11
10199,4
10200,9
10201,8
10202,10
10203,11
10204,11
10205,8
10206,1
10207,12
10208,14
10209,8
10210,6
10211,2
10212,6
10213,8
10214,11
10215,7
10216,2
10217,2
10218,8
10219,9
10220,13
10221,12
10222,8
10223,2
10224,12
10225,8
10226,12
10227,11
10228,4
10229,6
10230,6
10231,4
10232,11
10233,5
10234,10
10235,8
10236,6
10237,10
10238,2
10239,8
10240,2
10241,1
10242,12
10243,12
10244,10
10245,13
10246,9
10247,1
10248,5
10249,3
10250,10
10251,2
10252,9
10253,12
10254,2
10255,13
10256,10
10257,0
10258,8
10259,4
10260,10
10261,2
10262,7
10263,7
10264,7
10265,13
10266,14
10267,1
10268,11
10269,2
10270,2
10271,7
10272,14
10273,7
10274,8
10275,11
10276,7
10277,6
10278,10
10279,2
10280,13
10281,5
10282,8
10283,14
10284,11
10285,11
10286,12
10287,1
10288,6
10289,12
10290,3
10291,4
10292,13
10293,11
10294,3
10295,0
10296,7
10297,13
10298,8
10299,2
10300,7
10301,6
10302,9
10303,9
10304,3
10305,7
10306,7
10307,2
10308,7
10309,2
10310,2
10311,4
10312,14
10313,0
10314,12
10315,3
10316,14
10317,1
10318,9
10319,6
10320,3
10321,5
10322,6
10323,8
10324,11
10325,4
10326,5
10327,0
10328,3
10329,4
10330,12
10331,11
10332,11
10333,3
10334,3
10335,6
10336,6
10337,11
10338,12
10339,6
10340,3
10341,13
10342,8
10343,13
10344,5
10345,4
10346,0
10347,11
10348,7
10349,3
10350,6
10351,2
10352,14
10353,6
10354,4
10355,9
10356,11
10357,14
10358,10
10359,2
10360,6
10361,10
10362,12
10363,7
10364,12
10365,1
10366,5
10367,14
10368,2
10369,10
10370,3
10371,1
10372,2
10373,13
10374,14
10375,1
10376,10
10377,1
10378,12
10379,4
10380,0
10381,14
10382,13
10383,0
10384,5
10385,13
10386,5
10387,9
10388,13
10389,1
10390,7
10391,8
10392,13
10393,6
10394,12
10395,8
10396,6
10397,11
10398,12
10399,10
10400,9
10401,14
10402,9
10403,2
10404,13
10405,12
10406,5
10407,6
10408,9
10409,11
10410,10
10411,13
10412,1
10413,14
10414,7
10415,3
10416,3
10417,6
10418,4
10419,14
10420,7
10421,14
10422,10
10423,5
10424,6
10425,14
10426,9
10427,6
10428,11
10429,5
10430,3
10431,11
10432,1
10433,7
10434,6
10435,6
10436,3
10437,5
10438,1
10439,6
10440,11
10441,2
10442,2
10443,0
10444,12
10445,11
10446,0
10447,8
10448,7
10449,10
10450,5
10451,12
10452,7
10453,3
10454,7
10455,3
10456,7
10457,4
10458,6
10459,4
10460,7
10461,11
10462,10
10463,5
10464,7
10465,4
10466,4
10467,9
10468,11
10469,2
10470,3
10471,1
10472,14
10473,10
10474,2
10475,11
10476,4
10477,4
10478,7
10479,9
10480,9
10481,0
10482,11
10483,6
10484,13
10485,8
10486,14
10487,3
10488,9
10489,5
10490,12
10491,9
10492,11
10493,8
10494,11
10495,2
10496,3
10497,10
10498,2
10499,1
10500,8
10501,14
10502,4
10503,3
10504,10
10505,3
10506,11
10507,3
10508,2
10509,14
10510,8
10511,4
10512,6
10513,9
10514,0
10515,14
10516,7
10517,14
10518,11
10519,0
10520,12
10521,7
10522,13
10523,9
10524,4
10525,10
10526,4
10527,5
10528,8
10529,4
10530,14
10531,0
10532,5
10533,0
10534,10
10535,8
10536,2
10537,1
10538,11
10539,3
10540,12
10541,4
10542,8
10543,1
10544,7
10545,0
10546,3
10547,13
10548,14
10549,6
10550,13
10551,3
10552,8
10553,10
10554,13
10555,0
10556,8
10557,3
10558,5
10559,14
10560,9
10561,13
10562,2
10563,9
10564,13
10565,1
10566,13
10567,4
10568,6
10569,0
10570,12
10571,3
10572,14
10573,0
10574,1
10575,1
10576,10
10577,9
10578,3
10579,1
10580,3
10581,2
10582,10
10583,13
10584,6
10585,5
10586,7
10587,4
10588,2
10589,1
10590,9
10591,11
10592,7
10593,10
10594,1
10595,8
10596,10
10597,9
10598,0
10599,1
10600,14
10601,3
10602,3
10603,8
10604,10
10605,14
10606,11
10607,12
10608,13
10609,9
10610,9
10611,7
10612,3
10613,0
10614,1
10615,13
10616,4
10617,1
10618,2
10619,1
10620,5
10621,10
10622,12
10623,12
10624,14
10625,11
10626,3
10627,6
10628,9
10629,2
10630,19
10631,15
10632,16
10633,20
10634,17
10635,21
10636,20
10637,16
10638,21
10639,21
10640,21
10641,17
10642,21
10643,17
10644,17
10645,18
10646,17
10647,15
10648,20
10649,18
10650,20
10651,16
10652,16
10653,19
10654,19
10655,18
10656,19
10657,21
10658,21
10659,21
10660,21
10661,17
10662,20
10663,16
10664,21
10665,21
10666,18
10667,18
10668,15
10669,15
10670,16
10671,15
10672,17
10673,21
10674,19
10675,19
10676,20
10677,15
10678,19
10679,18
10680,15
10681,18
10682,19
10683,18
10684,21
10685,21
10686,17
10687,21
10688,16
10689,15
10690,19
10691,16
10692,17
10693,17
10694,19
10695,20
10696,21
10697,19
10698,21
10699,20
10700,21
10701,19
10702,15
10703,16
10704,17
10705,20
10706,17
10707,15
10708,18
10709,19
10710,21
10711,16
10712,17
10713,18
10714,18
10715,21
10716,17
10717,18
10718,16
10719,15
10720,17
10721,18
10722,16
10723,19
10724,17
10725,15
10726,18
10727,16
10728,20
10729,15
10730,20
10731,18
10732,20
10733,17
10734,21
10735,18
10736,21
10737,17
10738,20
10739,19
10740,21
10741,16
10742,18
10743,21
10744,16
10745,21
10746,21
10747,18
10748,20
10749,18
10750,19
10751,21
10752,20
10753,17
10754,19
10755,20
10756,19
10757,17
10758,20
10759,20
10760,19
10761,17
10762,18
10763,19
10764,16
10765,21
10766,19
10767,15
10768,16
10769,20
10770,19
10771,18
10772,18
10773,17
10774,21
